Test_ID,logic,emb_model,nDCG Score
10_ID4-50_2,Hybrid_wo_Normalize,GEMINI,0.937070807
#MEAN,Hybrid_wo_Normalize,GEMINI,0.660835837
1_ID1-2_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.179785934
2_ID1-2_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.276682721
3_ID2-17_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.616253192
6_ID3-30_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.580801572
7_ID1-3_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.158111618
8_ID1-3_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.343349222
9_ID4-50_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.937070807
#MEAN,Hybrid_wo_Normalize,OPENAI_SMALL,0.551763696
1_ID1-2_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.361807615
2_ID1-2_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.513838503
3_ID2-17_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.68031199
6_ID3-30_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.578252464
7_ID1-3_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.37290112
8_ID1-3_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.52659375
9_ID4-50_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.937070807
#MEAN,Hybrid_wo_Normalize,OPENAI_LARGE,0.639635815
1_ID1-2_1,Hybrid_wo_Normalize,PLAMO,0.359239701
2_ID1-2_2,Hybrid_wo_Normalize,PLAMO,0.508261949
3_ID2-17_1,Hybrid_wo_Normalize,PLAMO,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,PLAMO,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,PLAMO,0.67798092
6_ID3-30_2,Hybrid_wo_Normalize,PLAMO,0.557884162
7_ID1-3_1,Hybrid_wo_Normalize,PLAMO,0.31495511
8_ID1-3_2,Hybrid_wo_Normalize,PLAMO,0.534487405
9_ID4-50_1,Hybrid_wo_Normalize,PLAMO,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,PLAMO,0.937070807
#MEAN,Hybrid_wo_Normalize,PLAMO,0.631546195
1_ID1-2_1,Hybrid_wo_Normalize,RURI,0.4415188
2_ID1-2_2,Hybrid_wo_Normalize,RURI,0.505640418
3_ID2-17_1,Hybrid_wo_Normalize,RURI,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,RURI,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,RURI,0.616778222
6_ID3-30_2,Hybrid_wo_Normalize,RURI,0.585370138
7_ID1-3_1,Hybrid_wo_Normalize,RURI,0.38425843
8_ID1-3_2,Hybrid_wo_Normalize,RURI,0.528703238
9_ID4-50_1,Hybrid_wo_Normalize,RURI,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,RURI,0.937070807
#MEAN,Hybrid_wo_Normalize,RURI,0.642492195
1_ID1-2_1,Hybrid_Normalize,GEMINI,0.375962596
2_ID1-2_2,Hybrid_Normalize,GEMINI,0.642951674
3_ID2-17_1,Hybrid_Normalize,GEMINI,0.704988893
4_ID2-17_2,Hybrid_Normalize,GEMINI,0.779554165
5_ID3-30_1,Hybrid_Normalize,GEMINI,0.632674786
6_ID3-30_2,Hybrid_Normalize,GEMINI,0.60257742
7_ID1-3_1,Hybrid_Normalize,GEMINI,0.450143645
8_ID1-3_2,Hybrid_Normalize,GEMINI,0.578941565
9_ID4-50_1,Hybrid_Normalize,GEMINI,0.939318794
10_ID4-50_2,Hybrid_Normalize,GEMINI,0.883742453
#MEAN,Hybrid_Normalize,GEMINI,0.659085599
1_ID1-2_1,Hybrid_Normalize,OPENAI_SMALL,0.376168621
2_ID1-2_2,Hybrid_Normalize,OPENAI_SMALL,0.582838014
3_ID2-17_1,Hybrid_Normalize,OPENAI_SMALL,0.704988893
4_ID2-17_2,Hybrid_Normalize,OPENAI_SMALL,0.779554165
5_ID3-30_1,Hybrid_Normalize,OPENAI_SMALL,0.632674786
6_ID3-30_2,Hybrid_Normalize,OPENAI_SMALL,0.596456608
7_ID1-3_1,Hybrid_Normalize,OPENAI_SMALL,0.395941946
8_ID1-3_2,Hybrid_Normalize,OPENAI_SMALL,0.616446177
9_ID4-50_1,Hybrid_Normalize,OPENAI_SMALL,0.939318794
10_ID4-50_2,Hybrid_Normalize,OPENAI_SMALL,0.883742453
#MEAN,Hybrid_Normalize,OPENAI_SMALL,0.650813046
1_ID1-2_1,Hybrid_Normalize,OPENAI_LARGE,0.418684245
2_ID1-2_2,Hybrid_Normalize,OPENAI_LARGE,0.597227161
3_ID2-17_1,Hybrid_Normalize,OPENAI_LARGE,0.704988893
4_ID2-17_2,Hybrid_Normalize,OPENAI_LARGE,0.779554165
5_ID3-30_1,Hybrid_Normalize,OPENAI_LARGE,0.690838868
6_ID3-30_2,Hybrid_Normalize,OPENAI_LARGE,0.529600225
7_ID1-3_1,Hybrid_Normalize,OPENAI_LARGE,0.565332162
8_ID1-3_2,Hybrid_Normalize,OPENAI_LARGE,0.60936862
9_ID4-50_1,Hybrid_Normalize,OPENAI_LARGE,0.939318794
10_ID4-50_2,Hybrid_Normalize,OPENAI_LARGE,0.883742453
#MEAN,Hybrid_Normalize,OPENAI_LARGE,0.671865559
1_ID1-2_1,Hybrid_Normalize,PLAMO,0.382334798
2_ID1-2_2,Hybrid_Normalize,PLAMO,0.47948182
3_ID2-17_1,Hybrid_Normalize,PLAMO,0.704988893
4_ID2-17_2,Hybrid_Normalize,PLAMO,0.779554165
5_ID3-30_1,Hybrid_Normalize,PLAMO,0.690838868
6_ID3-30_2,Hybrid_Normalize,PLAMO,0.60257742
7_ID1-3_1,Hybrid_Normalize,PLAMO,0.332540933
8_ID1-3_2,Hybrid_Normalize,PLAMO,0.419481969
9_ID4-50_1,Hybrid_Normalize,PLAMO,0.939318794
10_ID4-50_2,Hybrid_Normalize,PLAMO,0.883742453
#MEAN,Hybrid_Normalize,PLAMO,0.621486011
1_ID1-2_1,Hybrid_Normalize,RURI,0.388752568
2_ID1-2_2,Hybrid_Normalize,RURI,0.582838014
3_ID2-17_1,Hybrid_Normalize,RURI,0.704988893
4_ID2-17_2,Hybrid_Normalize,RURI,0.779554165
5_ID3-30_1,Hybrid_Normalize,RURI,0.563278027
6_ID3-30_2,Hybrid_Normalize,RURI,0.531990014
7_ID1-3_1,Hybrid_Normalize,RURI,0.46763965
8_ID1-3_2,Hybrid_Normalize,RURI,0.612531256
9_ID4-50_1,Hybrid_Normalize,RURI,0.939318794
10_ID4-50_2,Hybrid_Normalize,RURI,0.883742453
#MEAN,Hybrid_Normalize,RURI,0.645463383
